District Name,Alloted Budget
Chittor - Rural,590000
Chittor - Urban,735000
Hyderabad,10000
Vijayawada,42000
Vishakapatinam,20000
Nellore,24000
Ariyalur,170000
Chennai North,300000
Chennai central,200000
"Chennai South MS1, 4,5,8,9,13,15,17,24,25,27,28,29 (13 Mandrans)",140000
NANGANALLUR/MS-4,10208
CHROMPET/MS-1,9170
KUNDRATHUR/MS-16,20207
KUNDRATHUR/MS-17,0
KUNDRATHUR/MS-18,0
IYAPPANTHANGAL/MS-9,3025
SELAIYUR(WOMEN)/MS-13,13450
TIRISULAM/MS-15,6073
ALANDUR/MS-2,3966
VETTUVANGENI/MS-25,3411
SELAIYUR/MS-3,1520
ADAMBAKKAM/MS-5,2365
KATTUPAKKAM/MS-7,17142
KATTUPAKKAM/MS-7,0
PALLAVAN KUDIYIRUPPU/MS-11,15734
KARAPPAKKAM/MS-29,8752
CHOZHINGANALLUR - II/MS-28,1182
BHARATHIPURAM/MS-8,1231
VANAJA NAGAR/MS-24,3572
NEW PERUNGALATHUR/MS-19,1569
ANAKAPUTHUR/MS-17,6492
ANAKAPUTHUR/MS-18,0
PEERKANKARANAI/MS-17,2156
POZHICHALUR/MS-10,3716
CHOZHINGANALLUR - I/MS-27,2558
chrompet/MS-01,2502
Coimbatore,420000
Cuddalore,1200000
Dharmapuri,1180000
Dindugal,700000
Erode,425000
Kanchipuram,350000
Kanyakumari,120000
Karnataka,2000000
Karur,175000
Kerala -a.Iduki ,100000
Kerala -b.Palaghat,100000
Krishnagiri North,700000
Krishnagiri South,480000
Madurai,520000
Mumbai,60000
Pune,1700
Navi mumbai,1500
Thane,9000
Namakkal,500000
Nilgris,100000
Perambalur,150000
Puducherry,200000
Pudukottai,300000
Ramnad (Raju),375000
Salem,600000
Siva Gangai,150000
Tanjavur,1430000
Theni,290000
Tiruchi,370000
Tirunelveli,310000
Tirupur,425000
Tiruvallur,950000
Tiruvannamalai,875000
Tuticurion,125000
Vellore -East,370000
Vellore -South,530000
Vellore -North,465000
Vellore - west,260000
Villupuram,1500000
Virudhu nagar,390000
