,REQUESTED ARTICLE,District,Institution,Public,Others,Total
0,AHUJA Radios,1,0,0,0,1
1,Agri Battery Sprayer,49,0,0,0,49
2,Agri Manual Sprayer,33,0,0,0,33
3,Agri Power Sprayer (1.2 Bolo),21,0,0,0,21
4,Agri Power Sprayer (Knapsack) 2 STK,4,0,0,0,4
5,Air Conditioner 1 Tonne,1,0,0,0,1
6,Aluminium Idli Making Box,16,0,0,0,16
7,Aluminium Vessels Sets,2,0,0,0,2
8,Artificial Limb,1,0,0,0,1
9,Audio Mixer,1,0,0,0,1
10,Barber Set,1,0,0,0,1
11,Bosch Electrician Kit 10 Re,45,0,0,0,45
12,Bosch Electrician Kit 13 Re,33,0,1,0,34
13,Bosch Rotary Hammer GBH 220,5,0,0,0,5
14,Business Aid,2,0,16,0,18
15,Canon Printer 6030B (USB),4,0,0,0,4
16,Construction Aid,1,0,6,0,7
17,Desktop Computer,8,1,0,0,9
18,Diamond Cooker 12 Ltrs,781,0,0,0,781
19,Education Aid,41,0,7,0,48
20,Electric Iron Box,1,0,0,0,1
21,Electronic weighing scale,0,0,1,0,1
22,Epson Printer L3250 (Lite),14,0,0,0,14
23,Ex gratia for Deceased,3,0,0,0,3
24,Financial Aid,4,0,5,0,9
25,Fishing net,2,0,0,0,2
26,Flood Relief Fund,1,0,0,0,1
27,Front Load Business Tricycle,1,0,0,0,1
28,Gasoline Generator XLNT-9500E,1,0,0,0,1
29,Gents Cycle,120,0,4,0,124
30,Girls Cycle,110,0,4,0,114
31,Goat,0,0,2,0,2
32,Gp Welding Machine Arc 200,3,0,0,0,3
33,Hand Sewing Machine with Motor,0,0,2,0,2
34,Handicapped Hand Tricycle,4,0,2,0,6
35,Handicapped Scooter,0,0,3,0,3
36,Instant Grinder 30 Kgs,5,0,0,0,5
37,Iron Box,24,0,0,0,24
38,Iron Ms Stove 2 Burner,229,0,0,0,229
39,Laptop,65,0,8,0,73
40,Lenova Tab,10,0,1,0,11
41,Livelihood Aid,1,0,2,0,3
42,Medical Aid,17,0,2,0,19
43,Mini freezer,0,0,1,0,1
44,Oxygen Concentrator,4,0,0,0,4
45,Paper Plate Making Machine,1,0,0,0,1
46,Preethi Mixie,1,0,0,0,1
47,Provision materials to Orphanages,4,0,0,0,4
48,Push Cart With Top,3,0,1,0,4
49,Push Cart Without Top,6,0,0,0,6
50,Push Cart Without Top/Iron Box,1,0,0,0,1
51,Pushcart + Idli box + MS Burner stove,1,0,0,0,1
52,RO water Purifier 10 Ltrs,2,0,0,0,2
53,Renovation Aid,1,0,5,0,6
54,Sewing Machine Heavy,45,0,0,0,45
55,Sewing Machine ORD,707,0,0,0,707
56,Sewing Machine ORD / Motor,175,0,28,0,203
57,Sewing Machine Overlock,7,0,0,0,7
58,Sewing Machine Universal ZigZag,1,0,0,0,1
59,Single Burner Stove,4,0,0,0,4
60,Steel Cupboard,2,0,0,0,2
61,Table Top Tilting Grinder 2 Ltr,14,0,0,0,14
62,Table Top Wet Grinder 2 Ltr,93,0,0,0,93
63,Tiffen Set,7,0,3,0,10
64,Tiffen Set + Idli Box +2 burner stove,0,0,1,0,1
65,Tree plant Saplings,10000,0,0,0,10000
66,Two Wheeler,6,0,0,0,6
67,Weighing Scale+ Bicycle+Basket for Fish Vendor,1,0,0,0,1
68,Wet Grinder 2 Ltr (Hgt),6,0,0,0,6
69,Wet Grinder 3 Ltrs,0,0,1,0,1
70,Wet Grinder 5 Ltrs,3,0,0,0,3
